"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2024","620.00","645.00","665.00","616.00","1.22M","-3.13%"
"03/24/2024","640.00","634.50","647.00","623.00","1.13M","1.27%"
"03/17/2024","632.00","669.00","669.50","629.50","1.89M","-4.46%"
"03/10/2024","661.50","683.50","690.00","660.00","1.59M","-3.22%"
"03/03/2024","683.50","691.00","701.00","669.00","1.31M","-1.09%"
"02/25/2024","691.00","710.50","715.00","678.00","4.36M","-2.68%"
"02/18/2024","710.00","710.00","728.50","703.50","1.66M","0.14%"
"02/11/2024","709.00","707.00","724.00","702.00","1.76M","1.29%"
"02/04/2024","700.00","673.50","723.00","670.00","1.84M","4.17%"
"01/28/2024","672.00","675.00","690.00","660.00","1.33M","-0.44%"
"01/21/2024","675.00","677.00","699.00","672.00","1.01M","0.00%"
"01/14/2024","675.00","685.00","687.00","671.50","1.69M","-0.81%"
"01/07/2024","680.50","710.00","714.50","656.00","2.69M","-4.36%"
"12/31/2023","711.50","685.00","725.00","685.00","619.48K","4.48%"
"12/24/2023","681.00","710.00","710.00","680.00","390.70K","-4.69%"
"12/17/2023","714.50","701.00","723.50","682.50","1.16M","-2.79%"
"12/10/2023","735.00","639.50","735.00","631.00","1.95M","14.84%"
"12/03/2023","640.00","645.50","661.00","638.50","696.43K","-2.29%"
"11/26/2023","655.00","648.00","664.00","646.50","1.83M","0.46%"
"11/19/2023","652.00","645.00","652.00","636.00","728.43K","0.77%"
"11/12/2023","647.00","629.00","647.00","616.50","1.06M","3.19%"
"11/05/2023","627.00","616.00","630.50","615.00","712.87K","1.79%"
"10/29/2023","616.00","602.50","618.00","602.00","293.98K","2.16%"
"10/22/2023","603.00","610.00","614.50","601.00","636.09K","-1.95%"
"10/15/2023","615.00","615.00","623.50","607.00","496.19K","0.00%"
"10/08/2023","615.00","616.00","624.00","610.00","774.32K","-0.89%"
"10/01/2023","620.50","625.00","629.50","605.00","831.33K","-0.56%"
"09/24/2023","624.00","613.50","632.00","602.00","1.53M","1.96%"
"09/17/2023","612.00","620.00","623.00","600.00","648.70K","-1.21%"
"09/10/2023","619.50","624.00","631.00","617.00","1.40M","-0.72%"
"09/03/2023","624.00","615.00","629.50","610.50","1.48M","2.46%"
"08/27/2023","609.00","600.00","629.50","597.00","4.85M","1.84%"
"08/20/2023","598.00","592.00","608.00","585.00","1.17M","1.36%"
"08/13/2023","590.00","607.00","609.50","588.00","1.40M","-2.32%"
"08/06/2023","604.00","615.00","626.50","604.00","1.42M","-0.49%"
"07/30/2023","607.00","625.50","629.00","607.00","1.62M","-2.80%"
"07/23/2023","624.50","635.00","646.00","621.50","1.09M","-1.58%"
"07/16/2023","634.50","614.00","638.00","609.00","1.06M","3.34%"
"07/09/2023","614.00","609.00","624.00","602.00","1.27M","1.49%"
"07/02/2023","605.00","630.00","642.00","605.00","1.65M","-3.20%"
"06/25/2023","625.00","618.00","647.50","614.00","1.00M","1.63%"
"06/18/2023","615.00","624.00","631.50","603.00","2.20M","0.00%"
"06/11/2023","615.00","676.00","685.00","615.00","3.11M","-9.49%"
"06/04/2023","679.50","664.50","682.00","655.00","2.04M","3.27%"
"05/28/2023","658.00","690.50","697.00","636.50","6.83M","-4.08%"
"05/21/2023","686.00","694.00","702.00","675.00","1.96M","-1.15%"
"05/14/2023","694.00","672.00","694.00","656.00","2.31M","3.04%"
"05/07/2023","673.50","653.00","701.00","651.00","2.38M","3.62%"
"04/30/2023","650.00","639.00","654.50","628.00","734.33K","1.72%"
"04/23/2023","639.00","638.50","649.00","625.00","732.96K","0.08%"
"04/16/2023","638.50","630.00","655.00","626.50","542.25K","1.35%"
"04/09/2023","630.00","650.00","651.00","626.00","687.38K","-3.08%"
"04/02/2023","650.00","651.50","668.00","644.50","417.15K","0.00%"
"03/26/2023","650.00","665.00","670.00","644.00","1.07M","-2.40%"
"03/19/2023","666.00","612.50","666.00","601.00","818.94K","9.18%"
"03/12/2023","610.00","621.00","635.00","601.00","1.56M","-2.24%"
"03/05/2023","624.00","660.00","675.50","616.50","1.24M","-4.29%"
"02/26/2023","652.00","651.00","667.00","625.00","1.69M","0.31%"
"02/19/2023","650.00","668.00","683.00","650.00","1.13M","-2.69%"
"02/12/2023","668.00","700.00","705.50","661.00","1.34M","-4.57%"
"02/05/2023","700.00","728.00","728.00","694.00","1.38M","-4.37%"
"01/29/2023","732.00","750.00","754.50","702.00","1.34M","-2.40%"
"01/22/2023","750.00","749.00","763.00","738.00","916.05K","0.67%"
"01/15/2023","745.00","739.00","772.00","738.00","1.39M","0.81%"
"01/08/2023","739.00","689.00","745.50","688.00","1.46M","8.04%"
"01/01/2023","684.00","695.00","704.50","683.00","737.63K","-1.58%"
"12/25/2022","695.00","695.00","710.00","690.00","200.10K","-0.14%"
"12/18/2022","696.00","671.00","713.50","657.00","1.06M","5.45%"
"12/11/2022","660.00","701.00","704.00","660.00","980.42K","-5.71%"
"12/04/2022","700.00","695.50","714.00","665.50","1.16M","0.86%"
"11/27/2022","694.00","695.00","740.00","685.00","3.33M","-0.14%"
"11/20/2022","695.00","678.00","701.00","651.00","1.81M","4.43%"
"11/13/2022","665.50","675.00","690.00","663.00","1.57M","-1.41%"
"11/06/2022","675.00","635.00","688.50","635.00","1.09M","7.83%"
"10/30/2022","626.00","687.00","687.00","623.00","944.06K","-6.15%"
"10/23/2022","667.00","661.00","675.00","631.00","1.41M","1.21%"
"10/16/2022","659.00","605.00","662.00","600.00","1.42M","8.39%"
"10/09/2022","608.00","629.00","629.00","581.00","1.49M","-3.49%"
"10/02/2022","630.00","613.00","659.00","605.00","1.00M","2.27%"
"09/25/2022","616.00","691.00","700.00","616.00","1.62M","-11.49%"
