"Date","Price","Open","High","Low","Vol.","Change %"
"05/19/2024","6,619.89","6,633.59","6,704.14","6,578.58","492.63K","0.02%"
"05/12/2024","6,618.69","6,523.88","6,649.61","6,523.88","673.07K","1.64%"
"05/05/2024","6,511.93","6,639.27","6,719.19","6,511.93","512.10K","-1.57%"
"04/28/2024","6,615.55","6,629.57","6,777.27","6,604.51","366.99K","-0.20%"
"04/21/2024","6,628.75","6,484.61","6,628.75","6,439.44","301.56K","2.88%"
"04/14/2024","6,443.00","6,630.43","6,630.43","6,404.97","513.13K","-3.25%"
"04/07/2024","6,659.39","6,750.74","6,750.74","6,659.39","335.76K","-1.28%"
"03/31/2024","6,745.46","6,948.54","7,070.72","6,728.84","436.70K","-2.29%"
"03/24/2024","6,903.53","6,879.75","6,925.37","6,797.65","300.66K","0.31%"
"03/17/2024","6,881.97","6,838.03","6,963.22","6,831.18","473.81K","0.87%"
"03/10/2024","6,822.32","6,939.54","6,989.38","6,790.96","827.45K","-1.73%"
"03/03/2024","6,942.21","6,923.24","7,021.04","6,806.46","411.18K","0.33%"
"02/25/2024","6,919.59","6,918.73","7,005.30","6,838.05","429.67K","0.09%"
"02/18/2024","6,913.21","6,882.32","6,990.65","6,798.61","394.61K","0.58%"
"02/11/2024","6,873.23","6,856.45","6,918.15","6,780.73","433.19K","0.34%"
"02/04/2024","6,850.16","6,702.12","6,931.55","6,695.82","366.78K","2.13%"
"01/28/2024","6,707.25","6,680.68","6,765.38","6,601.34","437.34K","0.32%"
"01/21/2024","6,686.09","6,532.83","6,687.12","6,532.83","379.53K","2.81%"
"01/14/2024","6,503.54","6,655.99","6,696.25","6,496.96","446.16K","-2.10%"
"01/07/2024","6,643.18","6,633.21","6,678.35","6,546.11","414.67K","0.20%"
"12/31/2023","6,629.64","6,478.52","6,629.64","6,464.34","295.44K","2.78%"
"12/24/2023","6,450.04","6,499.60","6,523.83","6,450.04","225.85K","-0.78%"
"12/17/2023","6,501.00","6,459.91","6,566.41","6,428.12","792.78K","0.35%"
"12/10/2023","6,478.44","6,203.39","6,478.44","6,167.21","618.01K","3.91%"
"12/03/2023","6,234.77","6,237.87","6,308.95","6,227.72","277.24K","-0.17%"
"11/26/2023","6,245.18","6,274.16","6,329.42","6,207.07","400.02K","-0.39%"
"11/19/2023","6,269.50","6,206.31","6,271.63","6,174.52","330.67K","0.93%"
"11/12/2023","6,211.89","6,158.22","6,232.12","6,079.15","339.15K","0.81%"
"11/05/2023","6,161.89","6,006.59","6,203.72","6,006.59","323.65K","2.88%"
"10/29/2023","5,989.27","5,971.74","6,083.69","5,920.47","168.28K","0.46%"
"10/22/2023","5,961.99","6,135.70","6,139.05","5,956.86","347.59K","-2.95%"
"10/15/2023","6,142.90","6,261.72","6,290.05","6,142.90","482.52K","-1.97%"
"10/08/2023","6,266.34","6,238.17","6,308.05","6,227.25","468.81K","0.10%"
"10/01/2023","6,259.95","6,334.00","6,339.29","6,166.69","428.16K","-0.97%"
"09/24/2023","6,321.24","6,156.87","6,412.94","6,118.14","573.80K","2.91%"
"09/17/2023","6,142.79","6,157.22","6,159.68","5,998.31","393.17K","0.27%"
"09/10/2023","6,126.34","6,217.56","6,260.87","6,126.34","502.83K","-1.55%"
"09/03/2023","6,222.94","6,195.37","6,258.50","6,170.07","2.01M","0.68%"
"08/27/2023","6,181.06","6,161.03","6,300.44","6,142.15","1.04M","0.33%"
"08/20/2023","6,160.61","6,286.92","6,291.04","6,144.03","336.61K","-2.06%"
"08/13/2023","6,290.27","6,404.27","6,410.09","6,290.27","630.13K","-1.81%"
"08/06/2023","6,405.91","6,498.59","6,541.64","6,405.91","528.26K","-0.70%"
"07/30/2023","6,450.84","6,632.60","6,678.29","6,450.84","528.33K","-2.63%"
"07/23/2023","6,625.26","6,653.55","6,698.41","6,622.61","415.95K","-0.34%"
"07/16/2023","6,647.56","6,604.91","6,689.04","6,528.80","371.72K","0.34%"
"07/09/2023","6,624.79","6,386.23","6,624.79","6,375.26","481.36K","3.85%"
"07/02/2023","6,379.03","6,459.53","6,519.07","6,379.03","393.84K","-1.38%"
"06/25/2023","6,468.07","6,422.57","6,550.25","6,419.93","435.24K","1.17%"
"06/18/2023","6,393.55","6,491.85","6,491.85","6,374.07","536.77K","-1.76%"
"06/11/2023","6,508.34","6,541.04","6,553.23","6,386.84","745.79K","0.02%"
"06/04/2023","6,507.15","6,525.63","6,564.70","6,479.93","391.44K","-0.07%"
"05/28/2023","6,512.01","6,543.93","6,593.16","6,430.58","1.39M","-0.28%"
"05/21/2023","6,530.20","6,651.19","6,651.19","6,496.47","363.31K","-2.02%"
"05/14/2023","6,664.55","6,582.57","6,694.09","6,523.15","424.77K","1.31%"
"05/07/2023","6,578.15","6,709.56","6,750.06","6,578.15","571.51K","-1.61%"
"04/30/2023","6,685.66","6,624.95","6,706.22","6,606.69","418.70K","0.91%"
"04/23/2023","6,625.08","6,523.85","6,635.40","6,512.98","630.47K","1.60%"
