"Date","Price","Open","High","Low","Vol.","Change %"
"11/05/2023","821.00","805.00","833.50","805.00","1.69M","1.99%"
"10/29/2023","805.00","810.00","818.50","801.00","575.17K","-0.06%"
"10/22/2023","805.50","817.00","824.00","803.00","652.60K","-1.41%"
"10/15/2023","817.00","822.00","828.50","802.00","1.44M","-0.97%"
"10/08/2023","825.00","830.00","844.00","821.00","1.44M","-0.96%"
"10/01/2023","833.00","844.00","848.00","806.00","2.56M","-1.24%"
"09/24/2023","843.50","806.00","853.00","804.00","1.82M","4.91%"
"09/17/2023","804.00","808.00","810.00","786.00","1.18M","0.12%"
"09/10/2023","803.00","824.50","826.00","801.00","1.28M","-2.55%"
"09/03/2023","824.00","825.00","856.00","813.00","771.70K","0.49%"
"08/27/2023","820.00","821.00","852.00","802.50","1.42M","-0.61%"
"08/20/2023","825.00","856.00","856.50","821.50","812.17K","-4.07%"
"08/13/2023","860.00","882.50","889.50","857.00","25.12M","-2.55%"
"08/06/2023","882.50","908.50","916.50","877.00","1.13M","-2.86%"
"07/30/2023","908.50","920.50","931.00","896.00","1.55M","-1.03%"
"07/23/2023","918.00","940.00","944.50","918.00","996.56K","-2.34%"
"07/16/2023","940.00","946.00","947.00","920.50","851.91K","-0.69%"
"07/09/2023","946.50","910.50","946.50","907.00","1.38M","3.95%"
"07/02/2023","910.50","925.00","938.50","910.50","964.87K","-1.57%"
"06/25/2023","925.00","918.50","937.50","913.00","1.36M","1.70%"
"06/18/2023","909.50","925.00","925.00","907.00","1.53M","-1.57%"
"06/11/2023","924.00","910.00","935.00","904.50","1.52M","1.54%"
"06/04/2023","910.00","920.00","930.00","903.00","855.54K","-1.09%"
"05/28/2023","920.00","921.00","929.00","908.00","1.90M","0.00%"
"05/21/2023","920.00","925.00","940.00","901.00","1.66M","-0.97%"
"05/14/2023","929.00","926.00","940.00","922.00","819.70K","0.22%"
"05/07/2023","927.00","927.00","944.50","913.00","1.36M","0.22%"
"04/30/2023","925.00","899.50","927.00","899.50","1.08M","3.35%"
"04/23/2023","895.00","902.00","907.00","885.00","1.55M","-0.56%"
"04/16/2023","900.00","899.50","906.00","883.50","1.19M","-0.44%"
"04/09/2023","904.00","896.00","904.00","872.00","1.55M","0.89%"
"04/02/2023","896.00","889.00","899.00","862.00","1.12M","0.79%"
"03/26/2023","889.00","905.00","919.50","889.00","2.07M","-1.77%"
"03/19/2023","905.00","884.00","911.00","877.00","1.71M","0.89%"
"03/12/2023","897.00","860.00","899.00","848.00","1.23M","2.51%"
"03/05/2023","875.00","900.00","903.50","852.50","946.85K","-2.34%"
"02/26/2023","896.00","895.00","911.00","852.00","2.37M","-0.44%"
"02/19/2023","900.00","884.00","902.50","860.00","1.30M","2.86%"
"02/12/2023","875.00","900.00","908.00","870.00","2.00M","-2.78%"
"02/05/2023","900.00","919.00","924.00","888.00","2.12M","-2.07%"
"01/29/2023","919.00","949.50","949.50","900.00","2.68M","-2.65%"
"01/22/2023","944.00","950.00","956.50","933.00","611.25K","-0.63%"
"01/15/2023","950.00","911.00","962.50","911.00","2.98M","4.63%"
"01/08/2023","908.00","901.00","913.00","897.00","3.19M","0.89%"
"01/01/2023","900.00","900.00","933.00","900.00","1.32M","0.00%"
"12/25/2022","900.00","914.00","932.50","900.00","1.42M","-1.53%"
"12/18/2022","914.00","922.00","927.00","894.00","1.12M","-1.61%"
"12/11/2022","929.00","923.00","950.00","910.00","1.37M","-0.11%"
"12/04/2022","930.00","905.00","943.00","890.00","1.19M","3.16%"
"11/27/2022","901.50","905.00","981.50","900.00","3.06M","-0.93%"
"11/20/2022","910.00","860.00","919.00","836.00","1.88M","5.94%"
"11/13/2022","859.00","825.00","878.00","821.50","2.14M","4.12%"
"11/06/2022","825.00","830.00","843.00","784.00","1.89M","-1.20%"
"10/30/2022","835.00","833.00","843.00","800.50","821.81K","1.83%"
"10/23/2022","820.00","775.50","830.00","764.50","1.85M","6.49%"
"10/16/2022","770.00","765.00","817.50","750.00","1.81M","1.05%"
"10/09/2022","762.00","749.00","788.50","741.50","1.10M","0.26%"
"10/02/2022","760.00","722.00","800.00","720.00","1.07M","4.83%"
"09/25/2022","725.00","820.00","820.00","725.00","3.14M","-10.27%"
"09/18/2022","808.00","866.00","870.00","786.00","2.22M","-7.23%"
"09/11/2022","871.00","865.00","893.50","844.50","1.69M","0.69%"
"09/04/2022","865.00","868.50","881.00","837.00","809.01K","0.58%"
"08/28/2022","860.00","858.00","878.50","831.00","1.03M","-2.16%"
"08/21/2022","879.00","880.00","885.00","832.50","657.55K","-0.45%"
"08/14/2022","883.00","845.00","887.50","843.00","2.13M","4.74%"
"08/07/2022","843.00","789.00","847.50","767.00","2.11M","8.08%"
"07/31/2022","780.00","779.00","803.00","763.00","2.02M","0.58%"
"07/24/2022","775.50","788.50","804.00","771.00","1.41M","-1.59%"
"07/17/2022","788.00","762.00","807.50","762.00","1.45M","1.68%"
"07/10/2022","775.00","839.00","858.00","758.00","2.08M","-7.63%"
"07/03/2022","839.00","780.00","859.50","771.00","1.59M","8.96%"
"06/26/2022","770.00","810.00","829.00","769.00","1.32M","-3.93%"
"06/19/2022","801.50","785.00","807.50","738.00","1.35M","2.10%"
"06/12/2022","785.00","818.50","830.00","785.00","2.01M","-4.27%"
"06/05/2022","820.00","860.00","864.50","820.00","1.34M","-5.20%"
"05/29/2022","865.00","840.00","867.00","839.00","1.86M","3.16%"
"05/22/2022","838.50","848.00","860.00","822.00","1.15M","-0.77%"
"05/15/2022","845.00","801.00","870.00","791.50","2.02M","7.10%"
"05/08/2022","789.00","836.00","855.00","789.00","2.16M","-6.68%"
"05/01/2022","845.50","850.00","870.00","825.00","2.01M","-0.70%"
"04/24/2022","851.50","860.00","885.00","824.00","2.62M","-2.01%"
"04/17/2022","869.00","872.50","895.00","855.50","1.74M","-0.40%"
"04/10/2022","872.50","865.00","875.00","860.00","807.39K","0.87%"
"04/03/2022","865.00","895.00","899.00","863.50","1.78M","-3.67%"
"03/27/2022","898.00","897.00","909.00","881.00","1.99M","0.11%"
"03/20/2022","897.00","902.50","909.50","861.00","4.21M","-0.61%"
"03/13/2022","902.50","901.00","934.00","851.50","14.30M","-0.72%"
"03/06/2022","909.00","930.00","938.00","871.00","1.98M","-2.47%"
"02/27/2022","932.00","871.50","957.00","871.50","2.38M","7.00%"
"02/20/2022","871.00","850.00","905.00","843.00","3.13M","-5.43%"
"02/13/2022","921.00","935.00","947.50","921.00","1.69M","1.10%"
"02/06/2022","911.00","974.00","985.00","911.00","2.18M","-6.71%"
"01/30/2022","976.50","942.00","995.00","940.50","900.52K","3.99%"
"01/23/2022","939.00","958.50","958.50","938.50","1.17M","-2.09%"
"01/16/2022","959.00","950.00","968.00","943.00","717.16K","1.27%"
"01/09/2022","947.00","932.00","963.50","926.00","1.35M","1.07%"
"01/02/2022","937.00","950.00","957.00","920.00","1.02M","-0.64%"
"12/26/2021","943.00","960.00","989.00","940.00","567.62K","-1.92%"
"12/19/2021","961.50","970.00","987.00","940.00","782.88K","-3.75%"
"12/12/2021","999.00","940.00","999.00","940.00","1.03M","6.28%"
"12/05/2021","940.00","949.00","959.50","930.50","728.73K","0.11%"
"11/28/2021","939.00","975.00","980.00","922.50","1.70M","-4.13%"
"11/21/2021","979.50","975.00","991.00","965.00","937.06K","0.46%"
"11/14/2021","975.00","989.50","998.00","970.50","960.70K","-1.52%"
"11/07/2021","990.00","998.00","998.00","971.00","1.44M","-0.80%"
"10/31/2021","998.00","976.00","1,005.00","975.00","774.15K","3.42%"
"10/24/2021","965.00","1,021.00","1,030.00","961.00","1.28M","-6.67%"
"10/17/2021","1,034.00","980.00","1,041.00","960.00","1.19M","4.34%"
"10/10/2021","991.00","968.00","1,018.00","968.00","924.05K","2.59%"
"10/03/2021","966.00","975.00","1,002.00","965.00","657.50K","-0.92%"
"09/26/2021","975.00","965.50","999.00","953.50","1.20M","1.04%"
"09/19/2021","965.00","994.50","999.00","962.00","560.75K","-2.92%"
"09/12/2021","994.00","1,015.00","1,016.00","988.00","859.47K","-2.07%"
"09/05/2021","1,015.00","1,002.00","1,027.00","995.00","614.01K","-0.49%"
"08/29/2021","1,020.00","975.50","1,020.00","953.00","1.39M","4.62%"
"08/22/2021","975.00","994.50","1,010.00","963.50","742.42K","-0.20%"
"08/15/2021","977.00","940.00","1,002.00","930.00","729.40K","7.13%"
"08/08/2021","912.00","963.00","1,008.00","912.00","728.01K","-5.30%"
"08/01/2021","963.00","930.00","985.00","912.00","880.80K","5.77%"
"07/25/2021","910.50","965.00","965.00","910.00","1.01M","-5.75%"
"07/18/2021","966.00","960.00","976.50","924.00","913.47K","1.05%"
"07/11/2021","956.00","999.00","1,020.00","956.00","848.89K","-4.40%"
"07/04/2021","1,000.00","1,014.00","1,022.00","984.00","773.70K","-1.77%"
"06/27/2021","1,018.00","996.00","1,021.00","995.50","880.70K","2.31%"
"06/20/2021","995.00","999.00","1,007.00","981.50","561.33K","-0.50%"
"06/13/2021","1,000.00","1,010.00","1,027.00","985.00","1.33M","-1.86%"
"06/06/2021","1,019.00","1,000.00","1,019.00","980.00","1.01M","1.90%"
